"latitude","longitude","country","country_code","year","value","score","gdp","support","life_expectancy","freedom","trust","generosity"
60.472024,8.468946,"Norway","NOR",2015,27.5,7.522,1.459,1.33095,0.88521,0.66973,"0.36503",0.34699
8.537981,-80.782127,"Panama","PAN",2015,50.8,6.786,1.06353,1.1985,0.79661,0.5421,"0.0927",0.24434
-9.189967,-75.015152,"Peru","PER",2015,43.4,5.824,0.90019,0.97459,0.73017,0.41496,"0.05989",0.14982
12.879721,121.774017,"Philippines","PHL",2015,44.6,5.073,0.70532,1.03516,0.58114,0.62545,"0.12279",0.24991
30.375321,69.345116,"Pakistan","PAK",2015,31.3,5.194,0.59543,0.41411,0.51466,0.12102,"0.10464",0.33671
51.919438,19.145136,"Poland","POL",2015,31.8,5.791,1.12555,1.27948,0.77903,0.53122,"0.04212",0.16759
39.399872,-8.224454,"Portugal","PRT",2015,35.5,5.102,1.15991,1.13935,0.87519,0.51469,"0.01078",0.13719
-23.442503,-58.443832,"Paraguay","PRY",2015,47.6,5.878,0.75985,1.30477,0.66098,0.53899,"0.08242",0.3424
45.943161,24.96676,"Romania","ROU",2015,35.9,5.124,1.04345,0.88588,0.7689,0.35068,"0.00649",0.13748
44.016521,21.005859,"Serbia","SRB",2015,40.5,5.123,0.92053,1.00964,0.74836,0.20107,"0.02617",0.19231
60.128161,18.643501,"Sweden","SWE",2015,29.2,7.364,1.33171,1.28907,0.91087,0.6598,"0.43844",0.36262
46.151241,14.995463,"Slovenia","SVN",2015,25.4,5.848,1.18498,1.27385,0.87337,0.60855,"0.03787",0.25328
13.794185,-88.89653,"El Salvador","SLV",2015,40.6,6.13,0.76454,1.02507,0.67737,0.4035,"0.11776",0.10692
8.619543,0.824782,"Togo","TGO",2015,43.1,2.839,0.20868,0.13995,0.28443,0.36453,"0.10731",0.16681
15.870032,100.992541,"Thailand","THA",2015,36,6.455,0.9669,1.26504,0.7385,0.55664,"0.03187",0.5763
38.861034,71.276093,"Tajikistan","TJK",2015,34,4.786,0.39047,0.85563,0.57379,0.47216,"0.15072",0.22974
33.886917,9.537499,"Tunisia","TUN",2015,32.8,4.739,0.88113,0.60429,0.73793,0.26268,"0.06358",0.06431
48.379433,31.16558,"Ukraine","UKR",2015,25.5,4.681,0.79907,1.20278,0.6739,0.25123,"0.02961",0.15275
37.09024,-95.712891,"United States","USA",2015,41.2,7.119,1.39451,1.24711,0.86179,0.54604,"0.1589",0.40105
-32.522779,-55.765835,"Uruguay","URY",2015,40.1,6.485,1.06166,1.2089,0.8116,0.60362,"0.24558",0.2324
42.602636,20.902977,"Kosovo","XKX",2015,26.5,5.589,0.80148,0.81198,0.63132,0.24749,"0.04741",0.2831
-13.133897,27.849332,"Zambia","ZMB",2015,57.1,5.129,0.47038,0.91612,0.29924,0.48827,"0.12468",0.19591
41.153332,20.168331,"Albania","ALB",2016,33.7,4.655,0.9553,0.50163,0.73007,0.31866,"0.05301",0.1684
40.069099,45.038189,"Armenia","ARM",2016,32.5,4.36,0.86086,0.62477,0.64083,0.14037,"0.03616",0.07793
-38.416097,-63.616672,"Argentina","ARG",2016,42,6.65,1.15137,1.06612,0.69711,0.42284,"0.07296",0.10989
47.516231,14.550072,"Austria","AUT",2016,30.8,7.119,1.45038,1.08383,0.80565,0.54355,"0.21348",0.32865
-25.274398,133.775136,"Australia","AUS",2016,33.7,7.313,1.44443,1.10476,0.8512,0.56837,"0.32331",0.47407
23.684994,90.356331,"Bangladesh","BGD",2016,32.4,4.643,0.54177,0.24749,0.52989,0.39778,"0.12583",0.19132
50.503887,4.469936,"Belgium","BEL",2016,27.6,6.929,1.42539,1.05249,0.81959,0.51354,"0.26248",0.2424
42.733883,25.48583,"Bulgaria","BGR",2016,40.6,4.217,1.11306,0.92542,0.67806,0.21219,"0.00615",0.12793
-16.290154,-63.588653,"Bolivia","BOL",2016,45.3,5.822,0.79422,0.83779,0.4697,0.50961,"0.07746",0.21698
-14.235004,-51.92528,"Brazil","BRA",2016,53.3,6.952,1.08754,1.03938,0.61415,0.40425,"0.14166",0.15776
53.709807,27.953389,"Belarus","BLR",2016,25.3,5.802,1.13062,1.04993,0.63104,0.29091,"0.17457",0.13942
56.130366,-106.346771,"Canada","CAN",2016,32.7,7.404,1.44015,1.0961,0.8276,0.5737,"0.31329",0.44834
46.818188,8.227512,"Switzerland","CHE",2016,33,7.509,1.52733,1.14524,0.86303,0.58557,"0.41203",0.28083
35.86166,104.195397,"China","CHN",2016,38.5,5.245,1.0278,0.79381,0.73561,0.44012,"0.02745",0.04959
4.570868,-74.297333,"Colombia","COL",2016,50.6,6.481,1.03032,1.02169,0.59659,0.44735,"0.05399",0.15626
9.748917,-83.753428,"Costa Rica","CRI",2016,48.7,7.087,1.06879,1.02152,0.76146,0.55225,"0.10547",0.22553
35.126413,33.429859,"Cyprus","CYP",2016,32.9,5.546,1.31857,0.70697,0.8488,0.29507,"0.05228",0.27906
51.165691,10.451526,"Germany","DEU",2016,31.6,6.994,1.44787,1.09774,0.81487,0.53466,"0.28551",0.30452
56.26392,9.501785,"Denmark","DNK",2016,28.2,7.526,1.44178,1.16374,0.79504,0.57941,"0.44453",0.36171
18.735693,-70.162651,"Dominican Republic","DOM",2016,45.7,5.155,1.02787,0.99496,0.57669,0.52259,"0.12372",0.21286
-1.831239,-78.183406,"Ecuador","ECU",2016,45,5.976,0.97306,0.85974,0.68613,0.4027,"0.18037",0.10074
58.595272,25.013607,"Estonia","EST",2016,31.2,5.517,1.27964,1.05163,0.68098,0.41511,"0.18519",0.08423
40.463667,-3.74922,"Spain","ESP",2016,35.8,6.361,1.34253,1.12945,0.87896,0.37545,"0.06137",0.17665
61.92411,25.748151,"Finland","FIN",2016,27.1,7.413,1.40598,1.13464,0.81091,0.57104,"0.41004",0.25492
46.227638,2.213749,"France","FRA",2016,31.9,6.478,1.39488,1.00508,0.83795,0.46562,"0.17808",0.1216
55.378051,-3.435973,"United Kingdom","GBR",2016,34.8,6.725,1.40283,1.08672,0.80991,0.50036,"0.27399",0.50156
42.315407,43.356892,"Georgia","GEO",2016,36.6,4.252,0.83792,0.19249,0.64035,0.32461,"0.3188",0.06786
7.946527,-1.023194,"Ghana","GHA",2016,43.5,4.276,0.63107,0.49353,0.29681,0.40973,"0.0326",0.21203
39.074208,21.824312,"Greece","GRC",2016,35,5.033,1.24886,0.75473,0.80029,0.05822,"0.04127",0
15.199999,-86.241905,"Honduras","HND",2016,49.8,4.871,0.69429,0.75596,0.58383,0.26755,"0.06906",0.2044
45.1,15.2,"Croatia","HRV",2016,30.9,5.488,1.18649,0.60809,0.70524,0.23907,"0.04002",0.18434
47.162494,19.503304,"Hungary","HUN",2016,30.3,5.145,1.24142,0.93164,0.67608,0.1977,"0.04472",0.099
-0.789275,113.921327,"Indonesia","IDN",2016,39.3,5.314,0.95104,0.87625,0.49374,0.39237,"0.00322",0.56521
53.41291,-8.24389,"Ireland","IRL",2016,32.8,6.907,1.48341,1.16157,0.81455,0.54008,"0.29754",0.44963
31.046051,34.851612,"Israel","ISR",2016,39,7.267,1.33766,0.99537,0.84917,0.36432,"0.08728",0.32288
20.593684,78.96288,"India","IND",2016,34.8,4.404,0.74036,0.29247,0.45091,0.40285,"0.08722",0.25028
64.963051,-19.020835,"Iceland","ISL",2016,27.2,7.501,1.42666,1.18326,0.86733,0.56624,"0.14975",0.47678
41.87194,12.56738,"Italy","ITA",2016,35.2,5.977,1.35495,1.04167,0.85102,0.18827,"0.02556",0.16684
48.019573,66.923684,"Kazakhstan","KAZ",2016,27.2,5.919,1.22943,0.95544,0.57386,0.4052,"0.11132",0.15011
7.873054,80.771797,"Sri Lanka","LKA",2016,39.3,4.415,0.97318,0.84783,0.62007,0.50817,"0.07964",0.46978
6.428055,-9.429499,"Liberia","LBR",2016,35.3,3.622,0.10706,0.50353,0.23165,0.25748,"0.04852",0.24063
55.169438,23.881275,"Lithuania","LTU",2016,38.4,5.813,1.2692,1.06411,0.64674,0.18929,"0.0182",0.02025
49.815273,6.129583,"Luxembourg","LUX",2016,31.7,6.871,1.69752,1.03999,0.84542,0.5487,"0.35329",0.27571
56.879635,24.603189,"Latvia","LVA",2016,34.3,5.56,1.21788,0.95025,0.63952,0.27996,"0.0889",0.17445
47.411631,28.369885,"Moldova","MDA",2016,26.3,5.897,0.69177,0.83132,0.52309,0.25202,"0.01903",0.19997
42.708678,19.37439,"Montenegro","MNE",2016,38.5,5.161,1.07838,0.74173,0.63533,0.15111,"0.12721",0.17191
46.862496,103.846656,"Mongolia","MNG",2016,32.3,4.907,0.98853,1.08983,0.55469,0.35972,"0.03285",0.34539
35.937496,14.375416,"Malta","MLT",2016,29.1,6.488,1.30782,1.09879,0.80315,0.54994,"0.17554",0.56237
-13.254308,34.301525,"Malawi","MWI",2016,44.7,4.156,0.08709,0.147,0.29364,0.4143,"0.07564",0.30968
23.634501,-102.552784,"Mexico","MEX",2016,47.7,6.778,1.11508,0.7146,0.71143,0.37709,"0.18355",0.11735
52.132633,5.291266,"Netherlands","NLD",2016,28.2,7.339,1.46468,1.02912,0.81231,0.55211,"0.29927",0.47416
